dataset,indicator,country,sex,n_obs,year_min,year_max,n_break,n_provisional,n_estimated
demo_mlexpec,Y15,BG,F,65,1960,2024,1,0,0
demo_mlexpec,Y15,BG,M,65,1960,2024,1,0,0
demo_mlexpec,Y15,CH,F,65,1960,2024,2,0,0
demo_mlexpec,Y15,CH,M,65,1960,2024,2,0,0
demo_mlexpec,Y15,CZ,F,65,1960,2024,2,0,0
demo_mlexpec,Y15,CZ,M,65,1960,2024,2,0,0
demo_mlexpec,Y15,DE,F,40,1985,2024,4,0,0
demo_mlexpec,Y15,DE,M,40,1985,2024,4,0,0
demo_mlexpec,Y15,FR,F,27,1998,2024,2,2,0
demo_mlexpec,Y15,FR,M,27,1998,2024,2,2,0
demo_mlexpec,Y15,NO,F,65,1960,2024,1,0,0
demo_mlexpec,Y15,NO,M,65,1960,2024,1,0,0
demo_mlexpec,Y15,PL,F,35,1990,2024,5,5,10
demo_mlexpec,Y15,PL,M,35,1990,2024,5,5,10
demo_mlexpec,Y15,RO,F,57,1968,2024,3,0,9
demo_mlexpec,Y15,RO,M,57,1968,2024,3,0,9
demo_mlexpec,Y65,BG,F,65,1960,2024,1,0,0
demo_mlexpec,Y65,BG,M,65,1960,2024,1,0,0
demo_mlexpec,Y65,CH,F,65,1960,2024,2,0,0
demo_mlexpec,Y65,CH,M,65,1960,2024,2,0,0
demo_mlexpec,Y65,CZ,F,65,1960,2024,2,0,0
demo_mlexpec,Y65,CZ,M,65,1960,2024,2,0,0
demo_mlexpec,Y65,DE,F,40,1985,2024,4,0,0
demo_mlexpec,Y65,DE,M,40,1985,2024,4,0,0
demo_mlexpec,Y65,FR,F,27,1998,2024,2,2,0
demo_mlexpec,Y65,FR,M,27,1998,2024,2,2,0
demo_mlexpec,Y65,NO,F,65,1960,2024,1,0,0
demo_mlexpec,Y65,NO,M,65,1960,2024,1,0,0
demo_mlexpec,Y65,PL,F,35,1990,2024,5,5,10
demo_mlexpec,Y65,PL,M,35,1990,2024,5,5,10
demo_mlexpec,Y65,RO,F,57,1968,2024,3,0,9
demo_mlexpec,Y65,RO,M,57,1968,2024,3,0,9
demo_mlexpec,Y_LT1,BG,F,65,1960,2024,1,0,0
demo_mlexpec,Y_LT1,BG,M,65,1960,2024,1,0,0
demo_mlexpec,Y_LT1,CH,F,65,1960,2024,2,0,0
demo_mlexpec,Y_LT1,CH,M,65,1960,2024,2,0,0
demo_mlexpec,Y_LT1,CZ,F,65,1960,2024,2,0,0
demo_mlexpec,Y_LT1,CZ,M,65,1960,2024,2,0,0
demo_mlexpec,Y_LT1,DE,F,40,1985,2024,4,0,0
demo_mlexpec,Y_LT1,DE,M,40,1985,2024,4,0,0
demo_mlexpec,Y_LT1,FR,F,27,1998,2024,2,2,0
demo_mlexpec,Y_LT1,FR,M,27,1998,2024,2,2,0
demo_mlexpec,Y_LT1,NO,F,65,1960,2024,1,0,0
demo_mlexpec,Y_LT1,NO,M,65,1960,2024,1,0,0
demo_mlexpec,Y_LT1,PL,F,35,1990,2024,5,5,10
demo_mlexpec,Y_LT1,PL,M,35,1990,2024,5,5,10
demo_mlexpec,Y_LT1,RO,F,57,1968,2024,3,0,9
demo_mlexpec,Y_LT1,RO,M,57,1968,2024,3,0,9
demo_pjan,TOTAL,BG,F,66,1960,2025,0,0,0
demo_pjan,TOTAL,BG,M,66,1960,2025,0,0,0
demo_pjan,TOTAL,CH,F,66,1960,2025,1,0,0
demo_pjan,TOTAL,CH,M,66,1960,2025,1,0,0
demo_pjan,TOTAL,CZ,F,66,1960,2025,1,0,0
demo_pjan,TOTAL,CZ,M,66,1960,2025,1,0,0
demo_pjan,TOTAL,DE,F,66,1960,2025,2,0,0
demo_pjan,TOTAL,DE,M,66,1960,2025,2,0,0
demo_pjan,TOTAL,FR,F,35,1991,2025,2,4,0
demo_pjan,TOTAL,FR,M,35,1991,2025,2,4,0
demo_pjan,TOTAL,NO,F,66,1960,2025,0,0,0
demo_pjan,TOTAL,NO,M,66,1960,2025,0,0,0
