STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,sex,Sex,indic_he,Health indicator,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2015,,65.0,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2016,,67.5,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2017,,66.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2018,,67.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2019,,68.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2020,,67.8,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2021,,65.1,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2022,,68.9,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2023,,71.0,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,BG,Bulgaria,2024,,71.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2015,,57.8,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2016,,57.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2017,,59.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2018,,59.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2019,,60.0,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2020,,60.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2021,,59.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2022,,56.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2023,,55.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CH,Switzerland,2024,,56.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2015,,63.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2016,,64.0,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2017,,62.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2018,,63.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2019,,62.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2020,,62.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2021,,63.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2022,,62.4,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2023,,62.6,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,CZ,Czechia,2024,,63.2,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2015,,67.5,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2016,,67.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2017,,66.7,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2018,,66.3,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2019,,67.1,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2020,,66.8,,b,break in time series,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2021,,66.5,,,,,
dataflow,ESTAT:HLTH_HLYE(1.0),Healthy life years by sex (from 2004 onwards),A,Annual,YR,Year,F,Females,HLY_0,Healthy life years in absolute value at birth,DE,Germany,2022,,61.2,,bu,"break in time series, low reliability",,
