dataset,indicator,country,sex,year,method
demo_pjangroup,TOTAL,PL,F,1961,linear_interp
demo_pjangroup,TOTAL,PL,F,1962,linear_interp
demo_pjangroup,TOTAL,PL,F,1963,linear_interp
demo_pjangroup,TOTAL,PL,F,1964,linear_interp
demo_pjangroup,TOTAL,PL,F,1966,linear_interp
demo_pjangroup,TOTAL,PL,F,1967,linear_interp
demo_pjangroup,TOTAL,PL,F,1968,linear_interp
demo_pjangroup,TOTAL,PL,F,1969,linear_interp
demo_pjangroup,TOTAL,PL,F,1971,linear_interp
demo_pjangroup,TOTAL,PL,F,1972,linear_interp
demo_pjangroup,TOTAL,PL,F,1973,linear_interp
demo_pjangroup,TOTAL,PL,F,1974,linear_interp
demo_pjangroup,TOTAL,PL,F,1976,linear_interp
demo_pjangroup,TOTAL,PL,F,1977,linear_interp
demo_pjangroup,TOTAL,PL,F,1978,linear_interp
demo_pjangroup,TOTAL,PL,F,1979,linear_interp
demo_pjangroup,TOTAL,PL,F,1981,linear_interp
demo_pjangroup,TOTAL,PL,F,1982,linear_interp
demo_pjangroup,TOTAL,PL,F,1983,linear_interp
demo_pjangroup,TOTAL,PL,F,1984,linear_interp
demo_pjangroup,TOTAL,PL,F,1986,linear_interp
demo_pjangroup,TOTAL,PL,F,1987,linear_interp
demo_pjangroup,TOTAL,PL,F,1988,linear_interp
demo_pjangroup,TOTAL,PL,F,1989,linear_interp
demo_pjangroup,Y15-19,PL,F,1961,linear_interp
demo_pjangroup,Y15-19,PL,F,1962,linear_interp
demo_pjangroup,Y15-19,PL,F,1963,linear_interp
demo_pjangroup,Y15-19,PL,F,1964,linear_interp
demo_pjangroup,Y15-19,PL,F,1966,linear_interp
demo_pjangroup,Y15-19,PL,F,1967,linear_interp
demo_pjangroup,Y15-19,PL,F,1968,linear_interp
demo_pjangroup,Y15-19,PL,F,1969,linear_interp
demo_pjangroup,Y15-19,PL,F,1971,linear_interp
demo_pjangroup,Y15-19,PL,F,1972,linear_interp
demo_pjangroup,Y15-19,PL,F,1973,linear_interp
demo_pjangroup,Y15-19,PL,F,1974,linear_interp
demo_pjangroup,Y15-19,PL,F,1976,linear_interp
demo_pjangroup,Y15-19,PL,F,1977,linear_interp
demo_pjangroup,Y15-19,PL,F,1978,linear_interp
demo_pjangroup,Y15-19,PL,F,1979,linear_interp
demo_pjangroup,Y15-19,PL,F,1981,linear_interp
demo_pjangroup,Y15-19,PL,F,1982,linear_interp
demo_pjangroup,Y15-19,PL,F,1983,linear_interp
demo_pjangroup,Y15-19,PL,F,1984,linear_interp
demo_pjangroup,Y15-19,PL,F,1986,linear_interp
demo_pjangroup,Y15-19,PL,F,1987,linear_interp
demo_pjangroup,Y15-19,PL,F,1988,linear_interp
demo_pjangroup,Y15-19,PL,F,1989,linear_interp
demo_pjangroup,Y20-24,PL,F,1961,linear_interp
demo_pjangroup,Y20-24,PL,F,1962,linear_interp
demo_pjangroup,Y20-24,PL,F,1963,linear_interp
demo_pjangroup,Y20-24,PL,F,1964,linear_interp
demo_pjangroup,Y20-24,PL,F,1966,linear_interp
demo_pjangroup,Y20-24,PL,F,1967,linear_interp
demo_pjangroup,Y20-24,PL,F,1968,linear_interp
demo_pjangroup,Y20-24,PL,F,1969,linear_interp
demo_pjangroup,Y20-24,PL,F,1971,linear_interp
demo_pjangroup,Y20-24,PL,F,1972,linear_interp
demo_pjangroup,Y20-24,PL,F,1973,linear_interp
demo_pjangroup,Y20-24,PL,F,1974,linear_interp
demo_pjangroup,Y20-24,PL,F,1976,linear_interp
demo_pjangroup,Y20-24,PL,F,1977,linear_interp
demo_pjangroup,Y20-24,PL,F,1978,linear_interp
demo_pjangroup,Y20-24,PL,F,1979,linear_interp
demo_pjangroup,Y20-24,PL,F,1981,linear_interp
demo_pjangroup,Y20-24,PL,F,1982,linear_interp
demo_pjangroup,Y20-24,PL,F,1983,linear_interp
demo_pjangroup,Y20-24,PL,F,1984,linear_interp
demo_pjangroup,Y20-24,PL,F,1986,linear_interp
demo_pjangroup,Y20-24,PL,F,1987,linear_interp
demo_pjangroup,Y20-24,PL,F,1988,linear_interp
demo_pjangroup,Y20-24,PL,F,1989,linear_interp
demo_pjangroup,Y25-29,PL,F,1961,linear_interp
demo_pjangroup,Y25-29,PL,F,1962,linear_interp
demo_pjangroup,Y25-29,PL,F,1963,linear_interp
demo_pjangroup,Y25-29,PL,F,1964,linear_interp
demo_pjangroup,Y25-29,PL,F,1966,linear_interp
demo_pjangroup,Y25-29,PL,F,1967,linear_interp
demo_pjangroup,Y25-29,PL,F,1968,linear_interp
demo_pjangroup,Y25-29,PL,F,1969,linear_interp
demo_pjangroup,Y25-29,PL,F,1971,linear_interp
demo_pjangroup,Y25-29,PL,F,1972,linear_interp
demo_pjangroup,Y25-29,PL,F,1973,linear_interp
