country,sex,year,scenario,pop_15_64_proj
BG,F,2024,BSL,2192820.0
BG,F,2024,HMIGR,2198639.0
BG,F,2024,LMIGR,2187015.0
BG,F,2025,BSL,2170614.0
BG,F,2025,HMIGR,2178558.0
BG,F,2025,LMIGR,2162671.0
BG,F,2026,BSL,2146344.0
BG,F,2026,HMIGR,2156274.0
BG,F,2026,LMIGR,2136408.0
BG,F,2027,BSL,2121828.0
BG,F,2027,HMIGR,2133594.0
BG,F,2027,LMIGR,2110061.0
BG,F,2028,BSL,2097885.0
BG,F,2028,HMIGR,2111331.0
BG,F,2028,LMIGR,2084448.0
BG,F,2029,BSL,2075059.0
BG,F,2029,HMIGR,2090173.0
BG,F,2029,LMIGR,2059940.0
BG,F,2030,BSL,2054336.0
BG,F,2030,HMIGR,2071144.0
BG,F,2030,LMIGR,2037533.0
BG,F,2031,BSL,2034909.0
BG,F,2031,HMIGR,2053417.0
BG,F,2031,LMIGR,2016407.0
BG,F,2032,BSL,2017258.0
BG,F,2032,HMIGR,2037457.0
BG,F,2032,LMIGR,1997050.0
BG,F,2033,BSL,1998937.0
BG,F,2033,HMIGR,2020856.0
BG,F,2033,LMIGR,1977020.0
BG,F,2034,BSL,1974908.0
BG,F,2034,HMIGR,1998546.0
BG,F,2034,LMIGR,1951276.0
BG,F,2035,BSL,1953133.0
BG,F,2035,HMIGR,1978624.0
BG,F,2035,LMIGR,1927646.0
BG,M,2024,BSL,2203604.0
BG,M,2024,HMIGR,2207692.0
BG,M,2024,LMIGR,2199519.0
BG,M,2025,BSL,2187719.0
BG,M,2025,HMIGR,2194616.0
BG,M,2025,LMIGR,2180815.0
BG,M,2026,BSL,2169200.0
BG,M,2026,HMIGR,2178711.0
BG,M,2026,LMIGR,2159682.0
BG,M,2027,BSL,2150030.0
BG,M,2027,HMIGR,2161954.0
BG,M,2027,LMIGR,2138113.0
BG,M,2028,BSL,2131077.0
BG,M,2028,HMIGR,2145194.0
BG,M,2028,LMIGR,2116961.0
BG,M,2029,BSL,2111325.0
BG,M,2029,HMIGR,2127616.0
BG,M,2029,LMIGR,2095042.0
BG,M,2030,BSL,2093812.0
BG,M,2030,HMIGR,2112251.0
BG,M,2030,LMIGR,2075373.0
BG,M,2031,BSL,2077272.0
BG,M,2031,HMIGR,2097855.0
BG,M,2031,LMIGR,2056694.0
BG,M,2032,BSL,2061110.0
BG,M,2032,HMIGR,2083818.0
BG,M,2032,LMIGR,2038409.0
BG,M,2033,BSL,2044269.0
BG,M,2033,HMIGR,2069088.0
BG,M,2033,LMIGR,2019449.0
BG,M,2034,BSL,2022469.0
BG,M,2034,HMIGR,2049387.0
BG,M,2034,LMIGR,1995553.0
BG,M,2035,BSL,2000492.0
BG,M,2035,HMIGR,2029562.0
BG,M,2035,LMIGR,1971430.0
CH,F,2024,BSL,2882105.0
CH,F,2024,HMIGR,2890499.0
CH,F,2024,LMIGR,2873814.0
CH,F,2025,BSL,2881083.0
CH,F,2025,HMIGR,2896257.0
CH,F,2025,LMIGR,2866470.0
CH,F,2026,BSL,2881164.0
CH,F,2026,HMIGR,2903270.0
CH,F,2026,LMIGR,2860198.0
CH,F,2027,BSL,2880467.0
CH,F,2027,HMIGR,2909481.0
CH,F,2027,LMIGR,2853113.0
CH,F,2028,BSL,2879737.0
CH,F,2028,HMIGR,2915711.0
CH,F,2028,LMIGR,2845952.0
CH,F,2029,BSL,2876838.0
CH,F,2029,HMIGR,2919557.0
CH,F,2029,LMIGR,2836639.0
CH,F,2030,BSL,2873235.0
CH,F,2030,HMIGR,2922621.0
CH,F,2030,LMIGR,2826637.0
CH,F,2031,BSL,2870822.0
CH,F,2031,HMIGR,2926952.0
CH,F,2031,LMIGR,2817836.0
CH,F,2032,BSL,2869061.0
CH,F,2032,HMIGR,2931975.0
CH,F,2032,LMIGR,2809710.0
CH,F,2033,BSL,2867415.0
CH,F,2033,HMIGR,2937097.0
CH,F,2033,LMIGR,2801727.0
CH,F,2034,BSL,2866050.0
CH,F,2034,HMIGR,2942496.0
CH,F,2034,LMIGR,2794043.0
CH,F,2035,BSL,2865948.0
CH,F,2035,HMIGR,2949296.0
CH,F,2035,LMIGR,2787614.0
CH,M,2024,BSL,2929484.0
CH,M,2024,HMIGR,2936090.0
CH,M,2024,LMIGR,2923082.0
CH,M,2025,BSL,2930357.0
CH,M,2025,HMIGR,2942986.0
CH,M,2025,LMIGR,2918341.0
CH,M,2026,BSL,2931578.0
CH,M,2026,HMIGR,2950260.0
CH,M,2026,LMIGR,2913891.0
CH,M,2027,BSL,2932622.0
CH,M,2027,HMIGR,2957402.0
CH,M,2027,LMIGR,2909246.0
CH,M,2028,BSL,2933329.0
CH,M,2028,HMIGR,2964236.0
CH,M,2028,LMIGR,2904270.0
CH,M,2029,BSL,2931433.0
CH,M,2029,HMIGR,2968271.0
CH,M,2029,LMIGR,2896769.0
CH,M,2030,BSL,2928551.0
CH,M,2030,HMIGR,2971199.0
CH,M,2030,LMIGR,2888314.0
CH,M,2031,BSL,2926514.0
CH,M,2031,HMIGR,2975017.0
CH,M,2031,LMIGR,2880734.0
CH,M,2032,BSL,2924933.0
CH,M,2032,HMIGR,2979286.0
CH,M,2032,LMIGR,2873643.0
CH,M,2033,BSL,2924034.0
CH,M,2033,HMIGR,2984262.0
CH,M,2033,LMIGR,2867262.0
CH,M,2034,BSL,2923814.0
CH,M,2034,HMIGR,2989939.0
CH,M,2034,LMIGR,2861597.0
CH,M,2035,BSL,2924203.0
CH,M,2035,HMIGR,2996235.0
CH,M,2035,LMIGR,2856519.0
CZ,F,2024,BSL,3484418.0
CZ,F,2024,HMIGR,3498944.0
CZ,F,2024,LMIGR,3469891.0
CZ,F,2025,BSL,3467510.0
CZ,F,2025,HMIGR,3485104.0
CZ,F,2025,LMIGR,3449914.0
CZ,F,2026,BSL,3450978.0
CZ,F,2026,HMIGR,3471674.0
CZ,F,2026,LMIGR,3430283.0
CZ,F,2027,BSL,3430909.0
CZ,F,2027,HMIGR,3454771.0
CZ,F,2027,LMIGR,3407038.0
CZ,F,2028,BSL,3410492.0
CZ,F,2028,HMIGR,3437583.0
CZ,F,2028,LMIGR,3383406.0
CZ,F,2029,BSL,3385188.0
CZ,F,2029,HMIGR,3415578.0
CZ,F,2029,LMIGR,3354798.0
CZ,F,2030,BSL,3361309.0
CZ,F,2030,HMIGR,3395112.0
CZ,F,2030,LMIGR,3327512.0
CZ,F,2031,BSL,3341707.0
CZ,F,2031,HMIGR,3379008.0
CZ,F,2031,LMIGR,3304405.0
CZ,F,2032,BSL,3326830.0
CZ,F,2032,HMIGR,3367695.0
CZ,F,2032,LMIGR,3285961.0
CZ,F,2033,BSL,3314068.0
CZ,F,2033,HMIGR,3358578.0
CZ,F,2033,LMIGR,3269549.0
CZ,F,2034,BSL,3302373.0
CZ,F,2034,HMIGR,3350575.0
CZ,F,2034,LMIGR,3254170.0
CZ,F,2035,BSL,3295203.0
CZ,F,2035,HMIGR,3347494.0
CZ,F,2035,LMIGR,3242922.0
CZ,M,2024,BSL,3536459.0
CZ,M,2024,HMIGR,3548015.0
CZ,M,2024,LMIGR,3524904.0
CZ,M,2025,BSL,3539256.0
CZ,M,2025,HMIGR,3557071.0
CZ,M,2025,LMIGR,3521739.0
CZ,M,2026,BSL,3540534.0
CZ,M,2026,HMIGR,3564522.0
CZ,M,2026,LMIGR,3517283.0
CZ,M,2027,BSL,3536553.0
CZ,M,2027,HMIGR,3566307.0
CZ,M,2027,LMIGR,3507697.0
CZ,M,2028,BSL,3530047.0
CZ,M,2028,HMIGR,3565361.0
CZ,M,2028,LMIGR,3495637.0
CZ,M,2029,BSL,3517723.0
CZ,M,2029,HMIGR,3558598.0
CZ,M,2029,LMIGR,3477750.0
CZ,M,2030,BSL,3505174.0
CZ,M,2030,HMIGR,3551630.0
CZ,M,2030,LMIGR,3459623.0
CZ,M,2031,BSL,3496190.0
CZ,M,2031,HMIGR,3548233.0
CZ,M,2031,LMIGR,3445049.0
CZ,M,2032,BSL,3490863.0
CZ,M,2032,HMIGR,3548512.0
CZ,M,2032,LMIGR,3434134.0
CZ,M,2033,BSL,3486428.0
CZ,M,2033,HMIGR,3549771.0
CZ,M,2033,LMIGR,3424117.0
CZ,M,2034,BSL,3482151.0
CZ,M,2034,HMIGR,3551180.0
CZ,M,2034,LMIGR,3414276.0
CZ,M,2035,BSL,3479091.0
CZ,M,2035,HMIGR,3554148.0
CZ,M,2035,LMIGR,3405447.0
DE,F,2024,BSL,26666223.0
DE,F,2024,HMIGR,26756538.0
DE,F,2024,LMIGR,26580209.0
DE,F,2025,BSL,26528163.0
DE,F,2025,HMIGR,26674796.0
DE,F,2025,LMIGR,26385878.0
DE,F,2026,BSL,26365350.0
DE,F,2026,HMIGR,26563371.0
DE,F,2026,LMIGR,26171722.0
DE,F,2027,BSL,26160269.0
DE,F,2027,HMIGR,26404778.0
DE,F,2027,LMIGR,25920205.0
DE,F,2028,BSL,25938618.0
DE,F,2028,HMIGR,26224639.0
DE,F,2028,LMIGR,25657098.0
DE,F,2029,BSL,25708223.0
DE,F,2029,HMIGR,26036140.0
DE,F,2029,LMIGR,25384855.0
DE,F,2030,BSL,25493008.0
DE,F,2030,HMIGR,25863346.0
DE,F,2030,LMIGR,25127287.0
DE,F,2031,BSL,25300430.0
DE,F,2031,HMIGR,25713685.0
DE,F,2031,LMIGR,24891851.0
DE,F,2032,BSL,25128116.0
DE,F,2032,HMIGR,25584764.0
DE,F,2032,LMIGR,24676221.0
DE,F,2033,BSL,24972017.0
DE,F,2033,HMIGR,25472550.0
DE,F,2033,LMIGR,24476297.0
DE,F,2034,BSL,24832851.0
DE,F,2034,HMIGR,25377696.0
DE,F,2034,LMIGR,24292903.0
DE,F,2035,BSL,24733739.0
DE,F,2035,HMIGR,25324052.0
DE,F,2035,LMIGR,24148404.0
DE,M,2024,BSL,27302577.0
DE,M,2024,HMIGR,27410094.0
DE,M,2024,LMIGR,27199275.0
DE,M,2025,BSL,27238813.0
DE,M,2025,HMIGR,27430108.0
DE,M,2025,LMIGR,27053387.0
DE,M,2026,BSL,27139007.0
DE,M,2026,HMIGR,27405055.0
DE,M,2026,LMIGR,26878884.0
DE,M,2027,BSL,26985661.0
DE,M,2027,HMIGR,27319045.0
DE,M,2027,LMIGR,26658237.0
DE,M,2028,BSL,26802699.0
DE,M,2028,HMIGR,27195910.0
