unit,sex,country,year,value
THS_PER,M,BG,2004,47.5
THS_PER,M,BG,2005,48.7
THS_PER,M,BG,2006,53.3
THS_PER,M,BG,2007,56.7
THS_PER,M,BG,2008,56.4
THS_PER,M,BG,2009,54.4
THS_PER,M,BG,2010,52.2
THS_PER,M,BG,2011,44.6
THS_PER,M,BG,2012,48.8
THS_PER,M,BG,2013,52.5
THS_PER,M,BG,2014,50.8
THS_PER,M,BG,2015,60.8
THS_PER,M,BG,2016,65.1
THS_PER,M,BG,2017,68.1
THS_PER,M,BG,2018,72.2
THS_PER,M,BG,2019,66.6
THS_PER,M,BG,2020,68.4
THS_PER,M,BG,2021,71.8
THS_PER,M,BG,2022,79.3
THS_PER,M,BG,2023,89.4
THS_PER,M,BG,2024,99.0
THS_PER,M,BG,2025,106.1
THS_PER,F,BG,2004,17.0
THS_PER,F,BG,2005,17.5
THS_PER,F,BG,2006,21.0
THS_PER,F,BG,2007,23.1
THS_PER,F,BG,2008,25.7
THS_PER,F,BG,2009,23.9
THS_PER,F,BG,2010,23.6
THS_PER,F,BG,2011,22.0
THS_PER,F,BG,2012,23.3
THS_PER,F,BG,2013,22.3
THS_PER,F,BG,2014,23.5
THS_PER,F,BG,2015,27.2
THS_PER,F,BG,2016,26.7
THS_PER,F,BG,2017,28.1
THS_PER,F,BG,2018,31.1
THS_PER,F,BG,2019,26.2
THS_PER,F,BG,2020,27.1
THS_PER,F,BG,2021,28.2
THS_PER,F,BG,2022,32.2
THS_PER,F,BG,2023,36.8
THS_PER,F,BG,2024,36.6
THS_PER,F,BG,2025,35.4
PC,M,BG,2004,73.6
PC,M,BG,2005,73.5
PC,M,BG,2006,71.7
PC,M,BG,2007,71.1
PC,M,BG,2008,68.7
PC,M,BG,2009,69.4
PC,M,BG,2010,68.9
PC,M,BG,2011,67.0
PC,M,BG,2012,67.6
PC,M,BG,2013,70.2
PC,M,BG,2014,68.4
PC,M,BG,2015,69.1
PC,M,BG,2016,70.9
PC,M,BG,2017,70.8
PC,M,BG,2018,69.9
PC,M,BG,2019,71.7
PC,M,BG,2020,71.6
PC,M,BG,2021,71.8
PC,M,BG,2022,71.1
PC,M,BG,2023,70.9
PC,M,BG,2024,73.0
PC,M,BG,2025,75.0
PC,F,BG,2004,26.4
PC,F,BG,2005,26.5
PC,F,BG,2006,28.3
PC,F,BG,2007,28.9
PC,F,BG,2008,31.3
PC,F,BG,2009,30.6
PC,F,BG,2010,31.1
PC,F,BG,2011,33.0
PC,F,BG,2012,32.4
PC,F,BG,2013,29.8
PC,F,BG,2014,31.6
PC,F,BG,2015,30.9
PC,F,BG,2016,29.1
PC,F,BG,2017,29.2
PC,F,BG,2018,30.1
PC,F,BG,2019,28.3
PC,F,BG,2020,28.4
PC,F,BG,2021,28.2
PC,F,BG,2022,28.9
PC,F,BG,2023,29.1
PC,F,BG,2024,27.0
PC,F,BG,2025,25.0
THS_PER,M,PL,2004,234.2
THS_PER,M,PL,2005,256.1
THS_PER,M,PL,2006,282.0
THS_PER,M,PL,2007,313.2
THS_PER,M,PL,2008,332.0
THS_PER,M,PL,2009,349.5
THS_PER,M,PL,2010,331.0
THS_PER,M,PL,2011,304.7
THS_PER,M,PL,2012,330.3
THS_PER,M,PL,2013,346.0
THS_PER,M,PL,2014,355.9
THS_PER,M,PL,2015,366.7
THS_PER,M,PL,2016,369.6
THS_PER,M,PL,2017,384.9
THS_PER,M,PL,2018,418.3
THS_PER,M,PL,2019,469.1
THS_PER,M,PL,2020,504.8
THS_PER,M,PL,2021,529.2
THS_PER,M,PL,2022,536.7
THS_PER,M,PL,2023,602.7
THS_PER,M,PL,2024,636.6
THS_PER,M,PL,2025,650.8
THS_PER,F,PL,2004,110.0
THS_PER,F,PL,2005,113.4
THS_PER,F,PL,2006,128.8
THS_PER,F,PL,2007,138.2
THS_PER,F,PL,2008,143.8
THS_PER,F,PL,2009,151.9
THS_PER,F,PL,2010,140.5
THS_PER,F,PL,2011,50.5
THS_PER,F,PL,2012,63.4
THS_PER,F,PL,2013,58.2
THS_PER,F,PL,2014,58.2
THS_PER,F,PL,2015,57.9
THS_PER,F,PL,2016,63.2
THS_PER,F,PL,2017,67.1
THS_PER,F,PL,2018,68.0
THS_PER,F,PL,2019,79.1
THS_PER,F,PL,2020,90.4
THS_PER,F,PL,2021,97.7
THS_PER,F,PL,2022,107.9
THS_PER,F,PL,2023,142.1
THS_PER,F,PL,2024,134.7
THS_PER,F,PL,2025,129.1
PC,M,PL,2004,68.0
PC,M,PL,2005,69.3
PC,M,PL,2006,68.7
PC,M,PL,2007,69.4
PC,M,PL,2008,69.8
PC,M,PL,2009,69.7
PC,M,PL,2010,70.2
PC,M,PL,2011,85.8
PC,M,PL,2012,83.9
PC,M,PL,2013,85.6
PC,M,PL,2014,85.9
PC,M,PL,2015,86.4
PC,M,PL,2016,85.4
