country,sex,year,supply,demand,balance,balance_lo,balance_hi
BG,F,2025,57959781.84314565,49312841.20579348,8646940.637352137,6122917.00505319,11100195.594688404
BG,F,2026,57449100.56366189,49137760.95993707,8311339.603724755,4544054.100290198,12019766.223444473
BG,F,2027,56940317.08144975,49040707.95682676,7899609.124623015,2988914.4446398057,12843764.5332194
BG,F,2028,56339026.791678995,48738738.55526372,7600288.236415329,2149023.6074114754,13223708.94133826
BG,F,2029,55621544.06079112,48430982.406684525,7190561.65410657,878763.8696565226,13622676.170174286
BG,F,2030,55475840.2811489,48337118.30425689,7138721.976892024,-7655.235883544319,14511787.771441692
BG,F,2031,55055463.61057367,48098472.85690129,6956990.753672454,-1375041.5158998584,14868560.732096005
BG,F,2032,54934063.86375448,47924739.56185414,7009324.301900364,-1713444.3153244,15778324.062073529
BG,F,2033,54320299.367436044,48029599.45678971,6290699.91064639,-2899887.529442279,15754970.083341228
BG,F,2034,53976529.779228136,47678861.107356615,6297668.6718716035,-3136977.7780633955,15857324.071652343
BG,F,2035,53115132.157279454,46988763.30244492,6126368.8548345165,-4512954.140074956,17024925.350906365
BG,M,2025,66388784.65206156,60104985.49262804,6283799.159433543,3946287.419837701,8618388.768314034
BG,M,2026,65871833.40027038,59927387.209751576,5944446.190518864,2113648.4396848353,9833294.088302907
BG,M,2027,65533607.92854368,59662010.1721398,5871597.756403903,764964.1074159751,11029695.800322162
BG,M,2028,65155532.80208094,59551600.22903302,5603932.573047995,-5949.201474247505,11306082.759018885
BG,M,2029,64637465.73189693,59200218.54483647,5437247.187060428,-1119165.4605425543,11740846.46800829
BG,M,2030,64040032.24915506,59075936.14601263,4964096.103142392,-2090763.6055142148,12124202.456903337
BG,M,2031,63577041.150757186,58838221.68151016,4738819.469247023,-3114596.437709854,12531176.25231347
BG,M,2032,63240837.49107677,58562158.26222034,4678679.228856553,-3931812.7376617407,12740604.445333088
BG,M,2033,62862557.99417543,58730800.739569485,4131757.254605941,-5180328.831662207,12938371.458254859
BG,M,2034,62351546.96218018,58033837.00879592,4317709.95338422,-5137766.396970496,13824850.856390173
BG,M,2035,61711331.606389284,58108896.18485397,3602435.4215352787,-6468674.92564478,13915531.56754475
PL,F,2025,311726423.7155898,154395081.34195095,157331342.3736389,141684428.10060495,172682931.70010316
PL,F,2026,306509950.5782686,152974959.25310865,153534991.3251603,126993307.1807833,180801399.17972577
PL,F,2027,302108724.4898128,150014692.96911594,152094031.5206971,105086936.92984606,197346718.97850946
PL,F,2028,299322201.9892136,149368840.7322289,149953361.25698444,82066849.92911904,209899071.57635856
PL,F,2029,291092878.5202565,148261224.25370556,142831654.2665511,53143668.10450106,226484724.30709124
PL,F,2030,290123119.4232736,145897178.2318996,144225941.19137487,44088894.98964955,245210218.2147227
PL,F,2031,280864743.6268952,145389455.29855528,135475288.32834074,11596495.585577257,242176803.65488118
PL,F,2032,280476242.04186696,142908718.54788402,137567523.49398252,-4350551.661706036,262612697.67470148
PL,F,2033,283630066.31448174,144656456.20802513,138973610.10645708,-14656647.4526666,280587992.5714482
PL,F,2034,274778229.463087,141105064.8001341,133673164.6629528,-24569656.381415166,279814442.0505715
PL,F,2035,272476612.31086713,138552410.54577184,133924201.76509514,-46590901.845484085,298795898.8864031
PL,M,2025,373659656.4841009,226383247.5059617,147276408.97813916,137623641.0691064,157304358.64216796
PL,M,2026,371304174.5974888,225324601.46110082,145979573.13638797,122872106.46324234,167674349.57105422
PL,M,2027,369417382.32164234,223679465.65577435,145737916.66586745,108631033.91671412,179575804.99190083
PL,M,2028,367526020.3391382,222817853.5906998,144708166.7484383,92531851.60943638,195993497.02284464
PL,M,2029,365129808.016085,218600912.8442296,146528895.17185566,78284448.32880308,211450508.40065747
PL,M,2030,360338822.1299936,220471147.65740868,139867674.47258434,57968114.791450255,219162734.2506589
PL,M,2031,361425959.0471817,216805929.77573243,144620029.27144948,43858782.07669904,235260882.59360722
PL,M,2032,355373794.47806644,216659515.03231424,138714279.44575197,29397967.39208407,243732002.7851337
PL,M,2033,358153758.20864224,215743482.97946543,142410275.22917685,19596832.70785529,263887285.67747048
PL,M,2034,358912358.3063962,214545986.6860669,144366371.6203291,9240059.703242494,276180996.0178857
PL,M,2035,355983583.5340713,213350173.83399692,142633409.70007437,699654.2095731735,277405540.4798672
CZ,F,2025,92181803.9067192,83957377.47072905,8224426.435990072,3735541.57944528,12602863.097915113
CZ,F,2026,91182374.97257715,83551806.62219062,7630568.350386502,-2057759.873561971,17112166.079155996
CZ,F,2027,90005677.07398422,83218857.72436303,6786819.349621173,-9075153.007399078,22324880.735178847
CZ,F,2028,89329063.42453891,82926612.97441228,6402450.450126656,-14493953.860528016,26849071.170666624
CZ,F,2029,88609305.4911629,82075632.06989305,6533673.421269908,-20712717.355445694,33016969.14523054
CZ,F,2030,87154400.21041855,82773272.74011442,4381127.470304055,-28755740.822723985,36703971.866215535
CZ,F,2031,86315482.58878085,81525163.73589133,4790318.85288969,-39865275.382259965,46753123.728840284
CZ,F,2032,84317678.14058219,80523810.61720794,3793867.523374314,-48835818.077562794,52772892.60657334
CZ,F,2033,85442548.91538353,80787392.96015131,4655155.955232435,-50448691.17116069,58529425.70245613
CZ,F,2034,87294823.98426273,79977025.69396037,7317798.290302268,-53523903.359672554,67966967.34347513
CZ,F,2035,84640099.37744842,79720160.730928,4919938.646520552,-59370348.39419087,66823590.60792094
CZ,M,2025,113835182.45563363,97786693.53351638,16048488.922117336,10397050.985221062,21181498.325099487
CZ,M,2026,113685796.11498047,97840516.02782035,15845280.087160196,7780084.624591671,23150029.355821773
CZ,M,2027,113486458.34960374,97804437.74960662,15682020.599997198,4929401.329963343,25927702.794851717
CZ,M,2028,113434638.61871603,97187785.44279489,16246853.175921265,272610.8875374157,30665081.53616306
CZ,M,2029,112491003.47687772,96838188.86992362,15652814.606954051,-2622430.8696874976,33016689.855729755
CZ,M,2030,111866622.87764013,96910151.45959547,14956471.418044684,-9312111.063898657,37687765.2113747
CZ,M,2031,111708499.2349727,96409601.16198145,15298898.072991274,-10972426.507640356,41393456.80149448
CZ,M,2032,111267839.23904479,96430570.04250035,14837269.1965444,-19900173.76755026,47727574.02181119
CZ,M,2033,111842003.93548912,96067322.57445154,15774681.36103761,-21926456.724861905,51175611.976316586
CZ,M,2034,110811247.64274046,96347314.31339923,14463933.329341155,-24195885.51829839,50239797.14501717
CZ,M,2035,110383389.845732,96950129.55440786,13433260.291324193,-28199045.784565456,54964667.36718086
RO,F,2025,136907703.79393575,113268548.44846971,23639155.345465835,11860393.192288762,35334836.06412485
RO,F,2026,134682907.44488797,112203141.30294175,22479766.14194638,8467966.562311422,36538103.798855014
RO,F,2027,133303109.51459303,111139148.61451408,22163960.900078926,6752938.940024949,37471595.45203685
RO,F,2028,131743163.69020838,109887382.76564845,21855780.92456027,5665680.760734998,37559786.50593481
RO,F,2029,130621843.82685824,109191001.93796295,21430841.888895378,3828940.244129873,37805534.15728727
RO,F,2030,129700288.03906117,108402320.50074728,21297967.538314205,2597553.312942972,40133341.85121431
RO,F,2031,129404840.66831118,107403919.68694133,22000920.98136991,948645.9347778639,44197819.227141924
RO,F,2032,127510182.8151288,106852205.1403651,20657977.67476332,-2967127.3092528265,43531523.40578166
RO,F,2033,125143121.1511538,105045281.2340946,20097839.917059295,-2249076.8193655973,40529229.348556586
RO,F,2034,122446890.91283584,103167550.87743518,19279340.0354007,-2129076.9072042597,40366343.7981195
RO,F,2035,120741174.20342965,101464218.82282959,19276955.380600087,-3022240.922323866,42285329.06772988
RO,M,2025,190295120.324066,152698451.20052686,37596669.12353869,26975961.267596908,47860726.29407736
