country,year,poor_py,poor_lo,poor_hi,nace_q_va,nace_q_lo,nace_q_hi
BG,2025,48268096.221175015,37541583.956754945,58968112.280350715,2350.74903560905,1948.9893804232245,2704.086452254173
BG,2026,49109882.49700007,35433441.60506338,63320301.88468594,2381.4004949226746,1926.5140857720073,2898.7690237122556
BG,2027,48736231.361220114,31647202.204056785,67064408.23175643,2419.143691828717,1848.207289222519,3180.7411338331312
BG,2028,49638944.45340296,27979093.99759634,72653146.38318315,2464.2812027965297,1782.3631165492102,3477.0805358701314
BG,2029,49750718.83178837,24806730.971744675,74527918.21457261,2511.237925197361,1736.163689681383,3803.3569891465904
BG,2030,48530057.34851338,20600584.109517746,79415966.35829209,2563.0495575723535,1605.1367857171847,4007.249557545894
BG,2031,50350245.4461948,19263152.969624918,83227642.43758553,2615.8961676142762,1598.1114099472184,4290.132868278206
BG,2032,49893383.59198424,17876320.55872185,84579962.57955122,2669.9954540498793,1514.4289356596269,4687.763677254675
BG,2033,49346648.7779413,14999190.736733897,87675424.51988743,2725.3602951724747,1473.965980730121,4933.730705586915
PL,2025,528141186.147799,479184446.77622145,579284086.8198584,26912.38971547558,24515.45962365087,29600.9383749312
PL,2026,531673074.6766927,465824301.11360365,593084024.1893051,27948.904995388442,24533.75112822769,32082.98655607302
PL,2027,534268737.92978907,466625756.5642028,602628433.9462454,29125.91465419815,25168.81271825764,33796.90100088458
PL,2028,538139513.348252,460703081.0949255,619200296.0345697,30647.643145384623,24790.893415541897,37051.96977072088
PL,2029,540015021.6749927,447659339.89178205,632698482.8083192,31794.597856340613,24283.432496122336,40544.76551161175
PL,2030,535244396.1687062,449390337.6357911,618093557.680777,32785.68734055973,24718.928048333888,41934.830843429205
PL,2031,540911997.9680035,444582093.1489006,643087692.0987281,34045.03838184184,25076.117762755093,45874.803799396024
PL,2032,547025765.6117897,443691910.8369201,651863493.2405173,35344.73509295368,24880.23987819212,48381.6775201804
PL,2033,538696611.8027908,430451272.48525834,647740023.6259394,36685.913976848635,25239.662840277895,53027.079938919545
CZ,2025,188768645.34513488,175447013.14445043,201986867.42822742,8154.995478130677,7487.490006305774,8765.592618256744
CZ,2026,188778828.5095403,173662716.77484226,203546397.59615946,8160.448427828102,7351.030510699409,8965.226079125021
CZ,2027,188582726.90101245,173355354.53153127,205128297.983588,8171.3418447222875,7102.647306120545,9367.33936879755
CZ,2028,188862399.8178362,172466783.69406775,204717323.3284574,8187.879689596712,6881.465490879432,9782.445602156895
CZ,2029,189989860.36582077,173864891.7307805,205328699.3304966,8198.49431720476,6677.407893456698,9929.685685416707
CZ,2030,189983606.72582805,169178344.28452873,208637661.5263582,8206.95097550037,6585.856440738636,10206.32195944712
CZ,2031,191022024.82593057,167854891.44625983,215416889.73412037,8222.595530509607,6550.09913550767,10262.382326049345
CZ,2032,190678715.75861526,164451517.28114608,215615675.23482946,8237.998162797734,6553.914883488889,10558.324020414768
CZ,2033,191755890.3940274,164685507.1316409,218808835.95787683,8253.240030043893,6305.4489966830515,10633.696616003777
RO,2025,257301002.85945243,198710319.0445107,314977861.70002127,5072.299081404166,4327.507609402344,5888.8504764652635
RO,2026,264928669.63335392,201292149.36944482,328549854.48948187,5043.440031545396,4060.653225479091,6138.998357686024
RO,2027,262191146.75097772,196345543.06545705,326822791.45885175,5023.567589869697,3877.5206593973103,6431.059558102065
RO,2028,261341157.5568292,191726500.69643056,325024656.2428273,5014.187898894725,3718.1829530822006,6547.0364904880935
RO,2029,262344244.73438004,190204646.88982114,333556319.29520935,5015.621657066965,3564.3319573155636,6785.8658751681705
RO,2030,261151124.85784456,180965695.50034302,340693361.98494345,5006.505220366576,3414.0254948890906,7178.810917929973
RO,2031,255875382.75170693,160088141.92704856,354801271.59382105,5016.960489869936,3333.3500058357195,7601.213265407148
RO,2032,259424617.89693874,158922955.56242558,357866156.47517306,5027.613887308186,3255.729497345626,7606.83457353362
RO,2033,255153805.6125793,151161473.9893104,363461598.4106773,5038.355863949743,3253.667244519858,7855.233954660892
DE,2025,1541153838.6250856,1349503657.4874387,1735175058.9563246,261359.23376946207,251304.57280574433,274605.25165859645
