country,sex,year,pop_total,le_birth,hly_birth,poor_pp,poor_py
BG,F,2006,3914757.0,76.3,71.9,4.3999999999999915,17224930.799999967
BG,F,2007,3886094.0,76.6,73.9,2.6999999999999886,10492453.799999956
BG,F,2008,3857635.0,77.0,65.7,11.299999999999997,43591275.49999999
BG,F,2009,3831264.0,77.4,65.8,11.600000000000009,44442662.400000036
BG,F,2010,3807808.0,77.4,67.1,10.300000000000011,39220422.40000004
BG,F,2011,3780505.0,77.8,65.9,11.899999999999991,44988009.49999997
BG,F,2012,3760457.0,77.9,65.7,12.200000000000003,45877575.40000001
BG,F,2013,3701945.0,78.6,66.6,12.0,44423340.0
BG,F,2014,3662824.0,78.0,66.1,11.900000000000006,43587605.600000024
BG,F,2015,3621883.0,78.2,65.0,13.200000000000003,47808855.60000001
BG,F,2016,3578998.0,78.5,67.5,11.0,39368978.0
BG,F,2017,3537549.0,78.4,66.2,12.200000000000003,43158097.80000001
BG,F,2018,3494184.0,78.6,67.6,11.0,38436024.0
BG,F,2019,3450251.0,78.8,68.4,10.399999999999991,35882610.39999997
BG,F,2020,3405861.0,77.5,67.8,9.700000000000003,33036851.70000001
BG,F,2021,3389807.0,75.1,65.1,10.0,33898070.0
BG,F,2022,3364303.0,77.9,68.9,9.0,30278727.0
BG,F,2023,3348207.0,79.7,71.0,8.700000000000003,29129400.90000001
BG,F,2024,3347783.0,79.5,71.4,8.099999999999994,27117042.299999982
BG,M,2006,3714614.0,69.2,66.2,3.0,11143842.0
BG,M,2007,3686579.0,69.5,67.1,2.4000000000000057,8847789.60000002
BG,M,2008,3660367.0,69.8,62.1,7.699999999999996,28184825.899999984
BG,M,2009,3635855.0,70.2,62.1,8.100000000000001,29450425.500000004
BG,M,2010,3613958.0,70.3,63.0,7.299999999999997,26381893.39999999
BG,M,2011,3588926.0,70.7,62.1,8.600000000000001,30864763.600000005
BG,M,2012,3566767.0,70.9,62.1,8.800000000000004,31387549.600000016
BG,M,2013,3500611.0,71.3,62.4,8.899999999999999,31155437.899999995
BG,M,2014,3454629.0,71.1,62.0,9.099999999999994,31437123.89999998
BG,M,2015,3407807.0,71.2,61.5,9.700000000000003,33055727.90000001
BG,M,2016,3359761.0,71.3,64.0,7.299999999999997,24526255.29999999
BG,M,2017,3311969.0,71.4,62.9,8.500000000000007,28151736.500000022
BG,M,2018,3263234.0,71.5,64.0,7.5,24474255.0
BG,M,2019,3213926.0,71.6,64.4,7.199999999999989,23140267.199999962
BG,M,2020,3163414.0,70.0,63.6,6.399999999999999,20245849.599999994
BG,M,2021,3142310.0,68.0,61.6,6.399999999999999,20110783.999999996
BG,M,2022,3118181.0,70.6,64.5,6.099999999999994,19020904.099999983
BG,M,2023,3099503.0,72.0,66.3,5.700000000000003,17667167.10000001
BG,M,2024,3097698.0,72.2,66.8,5.400000000000006,16727569.200000018
CH,F,2007,3829380.0,84.4,63.6,20.800000000000004,79651104.00000001
CH,F,2008,3866480.0,84.6,64.6,20.0,77329600.0
CH,F,2009,3915181.0,84.6,63.0,21.599999999999994,84567909.59999998
CH,F,2010,3955240.0,84.9,63.3,21.60000000000001,85433184.00000003
CH,F,2011,3992708.0,85.0,64.7,20.299999999999997,81051972.39999999
CH,F,2012,4032409.0,84.9,67.6,17.30000000000001,69760675.70000005
CH,F,2013,4070536.0,85.0,58.4,26.6,108276257.60000001
CH,F,2014,4117540.0,85.4,56.7,28.700000000000003,118173398.00000001
CH,F,2015,4163786.0,85.1,57.8,27.299999999999997,113671357.79999998
CH,F,2016,4205655.0,85.6,57.7,27.89999999999999,117337774.49999997
CH,F,2017,4246113.0,85.6,59.4,26.199999999999996,111248160.59999998
CH,F,2018,4277696.0,85.7,59.5,26.200000000000003,112075635.20000002
CH,F,2019,4307406.0,85.8,60.0,25.799999999999997,111131074.79999998
CH,F,2020,4337170.0,85.1,60.7,24.39999999999999,105826947.99999997
CH,F,2021,4367701.0,85.8,59.3,26.5,115744076.5
CH,F,2022,4400588.0,85.5,56.7,28.799999999999997,126736934.39999999
CH,F,2023,4435432.0,86.0,55.4,30.6,135724219.20000002
CH,F,2024,4510726.0,85.9,56.5,29.400000000000006,132615344.40000002
CH,M,2007,3679359.0,79.5,65.3,14.200000000000003,52246897.80000001
CH,M,2008,3727014.0,79.8,65.7,14.099999999999994,52550897.399999976
CH,M,2009,3786675.0,79.9,65.2,14.700000000000003,55664122.50000001
CH,M,2010,3830566.0,80.3,65.5,14.799999999999997,56692376.79999999
CH,M,2011,3877426.0,80.5,66.3,14.200000000000003,55059449.20000001
CH,M,2012,3922253.0,80.6,68.6,12.0,47067036.0
CH,M,2013,3968524.0,80.7,61.5,19.200000000000003,76195660.80000001
CH,M,2014,4022091.0,81.1,60.6,20.499999999999993,82452865.49999997
CH,M,2015,4073880.0,80.8,61.1,19.699999999999996,80255435.99999999
CH,M,2016,4121471.0,81.7,61.0,20.700000000000003,85314449.70000002
CH,M,2017,4173437.0,81.6,61.8,19.799999999999997,82634052.6
CH,M,2018,4206434.0,81.9,61.5,20.400000000000006,85811253.60000002
CH,M,2019,4237121.0,82.1,61.0,21.099999999999994,89403253.09999998
CH,M,2020,4268863.0,81.0,62.2,18.799999999999997,80254624.39999999
CH,M,2021,4302599.0,81.8,63.2,18.599999999999994,80028341.39999998
CH,M,2022,4338203.0,81.8,61.4,20.4,88499341.19999999
CH,M,2023,4379953.0,82.4,59.6,22.800000000000004,99862928.40000002
CH,M,2024,4451532.0,82.4,59.4,23.000000000000007,102385236.00000003
CZ,F,2005,5228199.0,79.2,60.0,19.200000000000003,100381420.80000001
CZ,F,2006,5233925.0,79.9,59.9,20.000000000000007,104678500.00000003
CZ,F,2007,5243638.0,80.2,63.3,16.900000000000006,88617482.20000003
CZ,F,2008,5278305.0,80.5,63.4,17.1,90259015.50000001
CZ,F,2009,5309105.0,80.5,62.7,17.799999999999997,94502068.99999999
CZ,F,2010,5325922.0,80.9,64.5,16.400000000000006,87345120.80000003
CZ,F,2011,5339500.0,81.1,63.6,17.499999999999993,93441249.99999996
CZ,F,2012,5347235.0,81.2,64.1,17.10000000000001,91437718.50000004
CZ,F,2013,5351776.0,81.3,64.2,17.099999999999994,91515369.59999996
CZ,F,2014,5350039.0,82.0,65.0,17.0,90950663.0
CZ,F,2015,5361348.0,81.6,63.7,17.89999999999999,95968129.19999996
CZ,F,2016,5367513.0,82.1,64.0,18.099999999999994,97151985.29999997
CZ,F,2017,5378133.0,82.0,62.4,19.6,105411406.80000001
CZ,F,2018,5390264.0,82.0,63.4,18.6,100258910.4
CZ,F,2019,5405606.0,82.2,62.6,19.6,105949877.60000001
CZ,F,2020,5421943.0,81.3,62.5,18.799999999999997,101932528.39999999
CZ,F,2021,5323934.0,80.5,63.4,17.1,91039271.4
CZ,F,2022,5332932.0,81.9,62.4,19.500000000000007,103992174.00000004
CZ,F,2023,5519006.0,82.9,62.6,20.300000000000004,112035821.80000003
CZ,F,2024,5557945.0,83.0,63.2,19.799999999999997,110047310.99999999
CZ,M,2005,4970656.0,72.9,58.0,14.900000000000006,74062774.40000002
CZ,M,2006,4989652.0,73.5,57.9,15.600000000000001,77838571.2
CZ,M,2007,5010595.0,73.8,61.4,12.399999999999999,62131377.99999999
CZ,M,2008,5065117.0,74.1,61.3,12.799999999999997,64833497.59999999
CZ,M,2009,5116678.0,74.3,61.1,13.199999999999996,67540149.59999998
CZ,M,2010,5136166.0,74.5,62.2,12.299999999999997,63174841.79999998
CZ,M,2011,5147231.0,74.8,62.2,12.599999999999994,64855110.59999997
CZ,M,2012,5158210.0,75.1,62.3,12.799999999999997,66025087.999999985
CZ,M,2013,5164349.0,75.2,62.5,12.700000000000003,65587232.30000001
CZ,M,2014,5162380.0,75.8,63.4,12.399999999999999,64013511.99999999
CZ,M,2015,5176927.0,75.7,62.4,13.300000000000004,68853129.10000002
CZ,M,2016,5186330.0,76.1,62.7,13.399999999999991,69496821.99999996
CZ,M,2017,5200687.0,76.1,60.6,15.499999999999993,80610648.49999997
CZ,M,2018,5219791.0,76.2,62.2,14.0,73077074.0
CZ,M,2019,5244194.0,76.4,61.7,14.700000000000003,77089651.80000001
CZ,M,2020,5271996.0,75.3,60.9,14.399999999999999,75916742.39999999
