country,sex,year,jobs,demand,demand_lo,demand_hi
BG,F,2025,1331792.1923999472,49049906.44609001,48113814.58545931,50189255.49699768
BG,F,2026,1324682.6987300732,48788063.79422864,46963069.53900453,50616632.58179582
BG,F,2027,1319714.6795099492,48605091.646351494,46201413.769385986,50977064.343604155
BG,F,2028,1313646.721322565,48381608.746310055,45548059.471662916,51266312.70659393
BG,F,2029,1307240.065373936,48145651.60772197,45073290.1388693,51359895.85467075
BG,F,2030,1300109.3815363229,47883028.521982774,44167892.550089136,51584911.780138165
BG,F,2031,1293913.737054165,47654842.9357048,43436839.600110486,51965903.772662275
BG,F,2032,1289822.282132407,47504154.65093656,42467415.96413178,52413255.7357332
BG,F,2033,1290165.592134446,47516798.75831165,42156621.58340621,52894311.40426243
BG,M,2025,1499849.7583893547,59739015.876647934,58511875.860808335,61206030.94904358
BG,M,2026,1494641.9281829377,59531587.999526426,57309419.832101315,61876626.029314816
BG,M,2027,1486820.2808695359,59220051.7870335,56039735.565353625,62172227.30467003
BG,M,2028,1483482.9766501784,59087126.95997657,55485862.83333803,62993767.59625995
BG,M,2029,1474272.383992354,58720269.05441535,54454976.605977654,63026778.27139344
BG,M,2030,1466598.458512247,58414616.60254286,53553927.19513898,63457898.68713652
BG,M,2031,1466151.420643908,58396811.08424691,52908274.7952344,63637741.196906365
BG,M,2032,1461447.9399230818,58209471.44713622,51849503.20055293,64679631.826590985
BG,M,2033,1452734.1043993044,57862399.37822426,51608702.32275955,64130083.63896022
PL,F,2025,7717114.441153038,154342288.82306108,147289399.70548284,160126507.15413195
PL,F,2026,7611216.811563122,152224336.23126233,140357301.3724276,164120751.86346886
PL,F,2027,7491802.059720572,149836041.19441137,130605470.22741291,168727057.85849306
PL,F,2028,7388585.178110141,147771703.5622028,119935954.90348934,176632955.38166985
PL,F,2029,7445854.090131443,148917081.80262893,108668451.7845311,185772201.3748088
PL,F,2030,7295768.977045134,145915379.54090285,100075985.17741628,188748036.85199857
PL,F,2031,7227798.113802908,144555962.27605814,96619230.11826304,191405441.99080947
PL,F,2032,7126193.674774665,142523873.4954934,91353528.9034714,193891169.9784406
PL,F,2033,7200305.6730575645,144006113.46115142,85017170.2298497,199837165.09930393
PL,M,2025,9008255.514765762,225206387.86914408,220738809.51101094,228917304.4493808
PL,M,2026,8958127.831845198,223953195.79612967,212699152.56464362,235350779.84597185
PL,M,2027,8904182.889209531,222604572.2302384,204688717.54420087,240798295.32379386
PL,M,2028,8828042.83400459,220701070.85011467,192088127.70044434,247744480.4774855
PL,M,2029,8838354.155730294,220958853.89325738,187770969.3788188,252746060.37058848
PL,M,2030,8748176.19331941,218704404.83298522,178711805.3211644,258928285.71769
