country,year,dividend_py,dividend_lo,dividend_hi,leisure
BG,2025,30791384.151260693,16611185.319736756,44895646.284124315,2.7771768395264016e-07
BG,2026,31354419.443406824,13960080.606286218,50937388.72745389,1.2081337657272175e-07
BG,2027,30791386.68608178,11846175.242566718,51208580.40768897,3.0867425182973435e-07
BG,2028,30941592.853002284,11695881.39641165,50415070.344905,6.321369833906368e-07
BG,2029,31716161.861129533,9945622.865482138,54959563.71821735,8.153573062507983e-07
BG,2030,31799625.14259959,5515736.305837119,60743304.37601824,1.0168814651410043e-06
BG,2031,34574761.06989711,6141710.33029162,68450960.55716336,1.2740406785819872e-06
BG,2032,34903609.394141324,3280949.470555279,69337101.47212882,1.5924726210315417e-06
BG,2033,34637502.687661126,1965191.0002599442,67423774.16976748,1.9758503038501744e-06
PL,2025,103705715.25046325,69298210.339962,137708997.18801576,4.798882180824508e-07
PL,2026,102297899.4584703,61682367.197251916,144053519.69419336,2.765921263490976e-07
PL,2027,103460819.16493356,58758922.85316503,146863965.46800423,8.512644020770617e-07
PL,2028,106734211.57852769,58094425.43223256,155635374.01109368,1.124745995193318e-06
PL,2029,106997464.30832611,52579150.571019255,158008741.80448848,1.4762864687083362e-06
PL,2030,107095381.1988639,46814123.59379663,167155499.59946164,1.9592587490431718e-06
PL,2031,113375287.7423371,41395446.85290107,183713221.54341277,2.5027708674539087e-06
PL,2032,116357537.15551178,32292112.768520247,203497289.8440388,3.190345364937534e-06
PL,2033,114550658.55671865,31392234.990990423,195442119.7585055,4.03515936021047e-06
CZ,2025,277950.07792016095,0.0,0.0,3.0840748103695585e-07
CZ,2026,263956.6412047579,0.0,147761.72480070093,1.3080255708405756e-07
CZ,2027,533236.5510050976,0.0,1252963.7727446237,3.381904793948763e-07
CZ,2028,1300924.98779988,0.0,5013790.264001609,7.026982820939667e-07
CZ,2029,1660753.7031559078,0.0,6183598.684440837,9.142666250736456e-07
CZ,2030,2288849.4112171633,0.0,8418393.548016353,1.150297752610898e-06
CZ,2031,3073170.506118928,0.0,11294441.889595274,1.45254467705651e-06
CZ,2032,3409111.336775228,0.0,12311247.93293537,1.822925058090136e-06
CZ,2033,4413451.027777338,0.0,14941431.5818516,2.2707072587320914e-06
RO,2025,27468753.356995627,0.0,68524049.099733,2.958621226771413e-07
RO,2026,31426834.584132187,0.0,76950290.8429698,1.3910224155504849e-07
RO,2027,32389535.96632922,0.0,82555214.88233952,3.7484821625471613e-07
RO,2028,30856418.790707838,0.0,80788696.60655622,8.092732649418017e-07
RO,2029,33308891.988864258,0.0,87883392.7124023,1.0903240453843772e-06
RO,2030,38330306.380328804,0.0,102144856.97703572,1.4113444945573576e-06
RO,2031,42854523.07820593,0.0,108617941.55628605,1.8145507409244558e-06
RO,2032,48243686.09196739,0.0,124795772.38898,2.3498487445851203e-06
RO,2033,50168674.325276665,0.0,130599985.74979348,3.012050831637296e-06
DE,2025,17600668.49219533,0.0,73064875.79866557,5.230540019910707e-07
DE,2026,31973705.190807585,0.0,135128133.94288668,2.0588325838084581e-07
DE,2027,55193299.23283146,0.0,201800191.29367122,5.819129397523538e-07
DE,2028,78418840.68075186,0.0,273426331.38133657,1.29672571977443e-06
DE,2029,99856503.17268538,0.0,326674610.3783515,1.7273848550956052e-06
DE,2030,133275193.5956928,0.0,405552579.17062277,2.2205617429107886e-06
DE,2031,134262381.52220452,0.0,405126078.5608319,2.8526898153785126e-06
DE,2032,156842693.625498,0.0,470296190.42251146,3.657413654018426e-06
DE,2033,167693136.1408304,0.0,481819997.52142274,4.650795513041852e-06
FR,2025,26540270.846721385,0.0,69027653.32344757,1.5152637975526635e-07
FR,2026,34819698.85918454,0.0,91656489.54737365,7.577751777856847e-08
FR,2027,38787837.30567762,0.0,103508516.54321858,9.328933529957599e-08
FR,2028,44417911.89506721,0.0,109251168.78715849,7.986268741851032e-08
FR,2029,44742735.000078015,0.0,112715548.59317712,6.404570169196284e-08
FR,2030,32659023.565238323,0.0,79939887.8977649,5.1402388547458593e-08
FR,2031,33977309.78828746,0.0,85003027.23349378,4.149818752187454e-08
FR,2032,35512060.709145136,0.0,83947838.31480944,3.334456689223159e-08
FR,2033,36791213.55008991,0.0,91708572.28802778,2.6773233787223348e-08
NO,2025,17833149.83024928,6308279.911171366,29913069.77419472,5.41144761871971e-07
NO,2026,19486907.087157838,4847541.349932072,35266253.40015732,3.697751074656417e-07
NO,2027,21420251.990389317,2983955.219327916,42177065.12089792,1.3386514508936313e-06
NO,2028,23326670.786186595,2809614.9948179876,43898945.39551877,2.0249430269843763e-06
NO,2029,25819719.724731117,1322532.700812045,51875694.691556975,2.9967276514352382e-06
NO,2030,27043282.697452758,208439.67984275433,55544906.1185904,4.420729882887794e-06
NO,2031,29089089.67101823,0.0,61649163.73998427,6.104561324318703e-06
NO,2032,28968111.278644577,0.0,63417654.3499127,8.375415204516724e-06
NO,2033,30155662.571050018,0.0,65945533.87953709,1.1266015712909727e-05
CH,2025,0.0,0.0,0.0,3.887701183384611e-07
CH,2026,1344.05865643102,0.0,0.0,1.6053858795359238e-07
CH,2027,39838.99953105282,0.0,0.0,4.3090896436515356e-07
CH,2028,45292.91648395236,0.0,0.0,9.248561364663104e-07
CH,2029,162718.79820994093,0.0,0.0,1.214145991938475e-06
CH,2030,223062.09178325153,0.0,0.0,1.5439476687991807e-06
CH,2031,245287.1102241271,0.0,0.0,1.9601309942292974e-06
CH,2032,55470.87275557422,0.0,0.0,2.48437357933994e-06
CH,2033,49549.59681939258,0.0,0.0,3.1242705228464226e-06
