country,sex,year,pop_total,hly_birth,retage,hdiv_pp,hdiv_py
BG,F,2006,3914757.0,71.9,62.5,9.400000000000006,36798715.80000002
BG,F,2007,3886094.0,73.9,62.5,11.400000000000006,44301471.600000024
BG,F,2008,3857635.0,65.7,62.5,3.200000000000003,12344432.000000011
BG,F,2009,3831264.0,65.8,62.5,3.299999999999997,12643171.19999999
BG,F,2010,3807808.0,67.1,62.5,4.599999999999994,17515916.79999998
BG,F,2011,3780505.0,65.9,62.5,3.4000000000000057,12853717.000000022
BG,F,2012,3760457.0,65.7,62.5,3.200000000000003,12033462.400000012
BG,F,2013,3701945.0,66.6,62.5,4.099999999999994,15177974.49999998
BG,F,2014,3662824.0,66.1,62.5,3.5999999999999943,13186166.39999998
BG,F,2015,3621883.0,65.0,62.5,2.5,9054707.5
BG,F,2016,3578998.0,67.5,62.5,5.0,17894990.0
BG,F,2017,3537549.0,66.2,62.5,3.700000000000003,13088931.30000001
BG,F,2018,3494184.0,67.6,62.5,5.099999999999994,17820338.39999998
BG,F,2019,3450251.0,68.4,62.5,5.900000000000006,20356480.90000002
BG,F,2020,3405861.0,67.8,62.5,5.299999999999997,18051063.29999999
BG,F,2021,3389807.0,65.1,62.5,2.5999999999999943,8813498.19999998
BG,F,2022,3364303.0,68.9,62.5,6.400000000000006,21531539.200000018
BG,F,2023,3348207.0,71.0,62.5,8.5,28459759.5
BG,F,2024,3347783.0,71.4,62.5,8.900000000000006,29795268.700000018
BG,M,2006,3714614.0,66.2,64.75,1.4500000000000028,5386190.300000011
BG,M,2007,3686579.0,67.1,64.75,2.3499999999999943,8663460.64999998
BG,M,2008,3660367.0,62.1,64.75,-2.6499999999999986,0.0
BG,M,2009,3635855.0,62.1,64.75,-2.6499999999999986,0.0
BG,M,2010,3613958.0,63.0,64.75,-1.75,0.0
BG,M,2011,3588926.0,62.1,64.75,-2.6499999999999986,0.0
BG,M,2012,3566767.0,62.1,64.75,-2.6499999999999986,0.0
BG,M,2013,3500611.0,62.4,64.75,-2.3500000000000014,0.0
BG,M,2014,3454629.0,62.0,64.75,-2.75,0.0
BG,M,2015,3407807.0,61.5,64.75,-3.25,0.0
BG,M,2016,3359761.0,64.0,64.75,-0.75,0.0
BG,M,2017,3311969.0,62.9,64.75,-1.8500000000000014,0.0
BG,M,2018,3263234.0,64.0,64.75,-0.75,0.0
