country,year,gdp,gdp_lo,gdp_hi,employed_ths,prod
BG,2025,60501.82151747549,57500.078478195595,63549.81032642935,2823.853773162357,21.42526716237192
BG,2026,61368.21281235231,56881.70080546331,66324.41246302608,2825.1499073887708,21.722108498332293
BG,2027,62130.197902608525,55782.07389186406,68959.16955188966,2829.7522042168566,21.95605601438281
BG,2028,62911.41564956281,54114.987532616295,72492.73108206535,2831.143922194936,22.221200115036435
BG,2029,63652.85921806103,52700.5877512004,76693.30319765238,2833.7783595017845,22.462186926027638
BG,2030,64186.05220128222,49584.21942578781,78437.41284834054,2835.7013952225384,22.63498276279018
BG,2031,64898.400960282124,48723.10970420265,81128.00913194074,2837.0903008346204,22.874986016902668
BG,2032,65608.53763306458,46692.39237494344,85161.49855731828,2837.929393545895,23.11845311665382
BG,2033,66314.95972027254,45485.40930531252,85959.580862773,2838.5330385980924,23.362405446238693
PL,2025,616174.8001340785,593190.5970404906,637450.0874495086,16812.018529848374,36.65085183198616
PL,2026,621920.5995873595,589748.1662371989,660352.5330868108,16795.800395228853,37.02833952254083
PL,2027,631397.4900570678,586980.5293224503,682888.813968551,16833.05272022996,37.50938707025223
PL,2028,643126.7666206178,587131.9225809587,698933.5453432587,16880.057264044182,38.09979768199763
PL,2029,651548.9379372242,576985.1599468756,729723.685691069,16931.938163240622,38.480469964846804
PL,2030,661887.8912316258,573015.3344497706,751563.3744246918,17004.492757735792,38.92429492967472
PL,2031,678928.2201353128,572268.1231804924,771821.5899080529,17059.3588325187,39.797991636188215
PL,2032,689580.3883447145,567276.5888599149,801022.5449403817,17102.18447163557,40.32118759380722
PL,2033,700284.0463902893,564884.7285530205,820321.2131436521,17145.339308731236,40.84398878205174
CZ,2025,207612.6016293437,205273.72117878962,209895.98103954332,5073.200337923568,40.92339899873111
CZ,2026,210018.11992332354,201557.5828864653,219124.04156777175,5076.979233683873,41.36674787439178
CZ,2027,212881.0681463156,200828.31929939697,225050.60685302527,5084.5565347266365,41.868168185833895
CZ,2028,215855.8723896475,202379.04342695622,227988.6953334878,5090.884260520252,42.40046745191347
CZ,2029,218824.9224815895,206084.77301850484,231581.0606335766,5098.3748166252935,42.92052474604715
CZ,2030,221222.64618201245,205216.3427400243,235479.70117982238,5106.530029511475,43.32152066149234
CZ,2031,222811.8182165359,203875.06651003158,241429.81432227266,5114.891399628378,43.56139765405855
CZ,2032,225279.18998385192,201994.77500132003,252822.8062032805,5121.846250896403,43.9839813513388
CZ,2033,227729.0391270701,201388.42997521567,255224.18404854197,5128.801782688435,44.40199656296684
RO,2025,214629.2385170401,208540.5614315645,220542.75551646677,7580.84709165749,28.31203900065912
RO,2026,216780.57912561749,201288.07647349415,232514.1073697005,7549.592802094387,28.714208144507985
RO,2027,218517.89511970765,197579.27808109022,241385.40537718678,7492.138689802663,29.166290717112076
RO,2028,220734.97997824717,193172.07830890382,249870.0360234846,7448.400691674021,29.63521823214873
RO,2029,223092.63547938212,184996.49383385555,261617.86248653074,7400.568950531784,30.14533571278345
RO,2030,225254.0591269519,182268.50019740357,264015.09206355264,7350.985783866733,30.64270095873655
RO,2031,228353.89141266362,181900.4103742309,270618.9434451406,7299.653042422804,31.282841812557084
RO,2032,230470.77433111076,184199.25901983678,280795.09688625246,7253.039312673502,31.775751432699494
RO,2033,232539.470813704,175357.0094022074,281228.2192377094,7206.497447649339,32.268029303133275
DE,2025,3351820.208812778,3297906.533832827,3410738.891584509,40780.08401119619,82.19257733487098
DE,2026,3370657.6509387684,3239749.200295582,3502257.044593155,40894.57380094853,82.42310256967608
DE,2027,3394404.255824708,3230853.581399759,3542801.6456182497,41054.28435762725,82.68087750003808
DE,2028,3414318.2744852696,3254607.1697120527,3573394.144862494,41207.07762965908,82.85756891500091
DE,2029,3428527.1028629607,3245289.8929481255,3610853.621301796,41327.09702955875,82.96075333843906
DE,2030,3444188.794592443,3205010.883559138,3665855.542996399,41372.45608792247,83.24835217114116
DE,2031,3454735.836990082,3154822.270951665,3760356.4409649097,41498.34562233503,83.24996539454074
DE,2032,3471863.3137598927,3145312.0395215554,3838499.9939163905,41616.84978090489,83.42446225598007
DE,2033,3488970.654376568,3139930.6984559875,3850786.865500348,41735.023210233616,83.598148174051
FR,2025,2485020.667775678,2445129.0608096803,2529655.41365792,28645.917591363184,86.74955723969958
FR,2026,2506615.010287963,2397936.0190848988,2616048.9151547183,28825.618248886443,86.95789240825027
FR,2027,2521011.1193695203,2396336.307904944,2634302.873686722,28932.63658881058,87.13381898781037
FR,2028,2537683.1079742094,2383136.726530954,2677679.934060074,29061.222662661134,87.32196636842512
FR,2029,2553982.295752875,2400910.297082674,2707242.4921815996,29194.376132988455,87.48199598850064
FR,2030,2569323.0408247113,2388547.6979843494,2745229.046950414,29331.14823915211,87.5970834784811
FR,2031,2578101.7352282,2394276.954399545,2775488.179366164,29486.085813685848,87.43451916671776
FR,2032,2594169.354174563,2372499.442558928,2804548.783336342,29625.630532678813,87.5650343142247
FR,2033,2610340.168077348,2385286.2141773994,2831691.6173748756,29765.03733358823,87.69819902532831
NO,2025,425472.20053861296,422620.41005901434,428456.40660871624,2771.0193263080605,153.54357023034066
NO,2026,429995.8291010501,421754.57098998554,440404.439997398,2787.5616926342827,154.25517944131968
NO,2027,435204.73769011546,421788.23226509616,449993.56668375176,2805.0871399054004,155.1483843403141
NO,2028,440401.9861550221,422097.9149202206,458278.118018433,2823.1308865775336,155.9977216249152
NO,2029,445765.0902518238,423315.9494615479,469634.769914067,2842.2057871466704,156.83772521599624
NO,2030,451648.8826153405,422306.72538606275,479136.77244887885,2862.508717975935,157.78078850173742
NO,2031,457432.6289777458,424021.3541200106,487699.43837512925,2888.6355636946387,158.3559500294588
NO,2032,462708.16458867566,425511.94682755024,494084.4376003771,2907.9313516131733,159.11935621588472
NO,2033,467970.6503801793,429473.4582600526,504140.0086575866,2927.1466756333552,159.87263442441713
CH,2025,765828.3075130255,756188.7980299278,775543.9810844709,4690.075810801061,163.28697837876155
CH,2026,773971.7609751632,750534.2583050128,801074.2910252115,4705.360943839401,164.4872242985956
CH,2027,782806.3669372592,746461.0195701971,822984.5301386163,4728.03308541366,165.5670239178901
CH,2028,792700.7560458418,745760.2479799928,837473.205894883,4755.239099521029,166.70050431863385
CH,2029,802839.6673180863,741703.0949802015,862155.2285161769,4782.717603774672,167.86265337607634
CH,2030,811901.8165861677,736588.9765423308,884230.5857956287,4803.59755725088,169.01953315398526
CH,2031,820698.000762868,738535.5607093372,898592.5695807416,4818.600551476819,170.31874545221183
CH,2032,829969.5477138308,740548.414004087,922715.4420023152,4840.155098457932,171.4758165452711
CH,2033,839277.1446057542,731903.618627343,938633.0674803947,4861.744301322341,172.62881233335946
