country,period,kind,g_gdp,g_labour,g_prod
BG,2014-2024,observed,2.8820500411451455,-0.3702541069172671,3.264390688652963
BG,2024-2033,projected,1.33634649607981,0.06965591910037539,1.2658088661796407
PL,2014-2024,observed,3.6752680910045354,0.7324218588580456,2.9214489017943546
PL,2024-2033,projected,1.8430675554270026,0.24538150263906378,1.5937752231965696
CZ,2014-2024,observed,2.1553435584803493,0.25707039725195724,1.893405775479784
CZ,2024-2033,projected,1.3919809845004183,0.2598515754321795,1.129195177609521
RO,2014-2024,observed,3.2478495364680393,-0.6008981493679899,3.872014549607883
RO,2024-2033,projected,0.9325608787247308,-0.8351613607523789,1.7826099086470926
DE,2014-2024,observed,0.8785690505988653,0.47807110989559476,0.3985923856611562
DE,2024-2033,projected,0.5729391511392956,0.2497861009982616,0.32234786996498954
FR,2014-2024,observed,1.2413137166586319,0.8318595927553796,0.40607614057399655
FR,2024-2033,projected,0.6423889054692378,0.537303077892215,0.10452421574864701
NO,2014-2024,observed,1.7104388681832283,0.8746393077756487,0.8285527126966841
NO,2024-2033,projected,1.2307034454981158,0.6255022172397151,0.6014392126479473
CH,2014-2024,observed,1.8691014578496201,0.810982437401031,1.049606892885535
CH,2024-2033,projected,1.1840431510354188,0.45024333683936213,0.7305107382720832
