country,sex,year,pop_total,hly_birth,employed_ths,vacancies_sex,jobs,required_service_years,supply_py,demand_py,balance_py,supply_per_demand
BG,F,2011,3780505.0,65.9,1386.4,7707.72099060632,1394107.7209906064,36.83,249135279.50000003,51344987.36408403,197790292.135916,4.852183091085361
BG,F,2012,3760457.0,65.7,1377.7,7816.278558844865,1385516.278558845,36.83,247062024.9,51028564.53932226,196033460.36067775,4.841641679134747
BG,F,2013,3701945.0,66.6,1371.5,6984.350103824191,1378484.3501038242,36.83,246549536.99999997,50769578.61432384,195779958.38567615,4.856245486552845
BG,F,2014,3662824.0,66.1,1384.1,7489.879799480768,1391589.8797994808,36.83,242112666.39999998,51252255.27301487,190860411.1269851,4.723941709692454
BG,F,2015,3621883.0,65.0,1401.8,8333.485320329579,1410133.4853203297,36.83,235422395.0,51935216.26434774,183487178.73565227,4.533001149002854
BG,F,2016,3578998.0,67.5,1385.0,9166.25469654402,1394166.254696544,36.83,241582365.0,51347143.16047371,190235221.8395263,4.70488424730836
BG,F,2017,3537549.0,66.2,1434.8,9051.18188325633,1443851.1818832564,36.83,234185743.8,53177039.02876033,181008704.7712397,4.403888371320237
BG,F,2018,3494184.0,67.6,1432.2,9738.917997262773,1441938.9179972627,36.83,236206838.39999998,53106610.34983918,183100228.0501608,4.447786007127741
BG,F,2019,3450251.0,68.4,1380.4,9441.518974881195,1389841.5189748812,36.83,235997168.4,51187863.14384487,184809305.25615513,4.610412584264668
BG,F,2020,3405861.0,67.8,1324.1,7808.657072774759,1331908.6570727748,36.83,230917375.79999998,49054195.839990295,181863179.9600097,4.70739295275023
BG,F,2021,3389807.0,65.1,1304.1,8487.839771666548,1312587.8397716666,36.83,220676435.7,48342610.13879048,172333825.5612095,4.564843211122511
BG,F,2022,3364303.0,68.9,1337.5,8993.059589185765,1346493.0595891858,36.83,231800476.70000002,49591339.384669706,182209137.31533033,4.674212868137558
BG,F,2023,3348207.0,71.0,1331.9,8371.282028564343,1340271.2820285643,36.83,237722697.0,49362191.31711202,188360505.68288797,4.815886220950455
BG,F,2024,3347783.0,71.4,1330.4,8148.157614861032,1338548.157614861,36.83,239031706.20000002,49298728.64495532,189732977.5550447,4.84863834768404
BG,M,2011,3588926.0,62.1,1541.1,8567.77900939368,1549667.7790093936,39.83,222872304.6,61723267.63794415,161149036.96205586,3.610831265566214
BG,M,2012,3566767.0,62.1,1517.2,8607.721441155134,1525807.721441155,39.83,221496230.70000002,60772921.5450012,160723309.1549988,3.644653326991796
BG,M,2013,3500611.0,62.4,1518.0,7730.399896175809,1525730.3998961758,39.83,218438126.4,60769841.827864684,157668284.57213533,3.5945153028165358
BG,M,2014,3454629.0,62.0,1543.3,8351.370200519232,1551651.3702005192,39.83,214186998.0,61802274.075086676,152384723.92491332,3.4656815012951383
BG,M,2015,3407807.0,61.5,1571.7,9343.514679670421,1581043.5146796703,39.83,209580130.5,62972963.18969127,146607167.31030872,3.3280970099610694
BG,M,2016,3359761.0,64.0,1569.3,10385.995303455979,1579685.995303456,39.83,215024704.0,62918893.19293665,152105810.80706334,3.4174902495605077
BG,M,2017,3311969.0,62.9,1638.6,10336.818116743672,1648936.8181167436,39.83,208322850.1,65677153.465589896,142645696.63441008,3.171922641396847
BG,M,2018,3263234.0,64.0,1636.6,11128.832002737225,1647728.8320027373,39.83,208846976.0,65629039.37866902,143217936.62133098,3.182234236204289
BG,M,2019,3213926.0,64.4,1565.6,10708.231025118803,1576308.2310251188,39.83,206976834.4,62784356.84173048,144192477.55826953,3.2966306387713127
BG,M,2020,3163414.0,63.6,1509.3,8900.842927225243,1518200.8429272252,39.83,201193130.4,60469939.57379138,140723190.82620862,3.3271594418328188
BG,M,2021,3142310.0,61.6,1481.3,9641.160228333454,1490941.1602283334,39.83,193566296.0,59384186.411894515,134182109.58810548,3.2595596184042206
BG,M,2022,3118181.0,64.5,1503.2,10107.190410814237,1513307.1904108142,39.83,201122674.5,60275025.39406273,140847649.10593727,3.336749726526224
BG,M,2023,3099503.0,66.3,1489.8,9363.71797143566,1499163.7179714357,39.83,205497048.9,59711690.886802286,145785358.01319772,3.4414876860474197
