country,sex,year,supply_realized,lo,hi
BG,F,2025,57837613.65367552,55529434.036679894,60042987.03320755
BG,F,2026,57442627.379548036,54041743.46390951,60944832.44295463
BG,F,2027,56918809.78470112,52752903.67272781,61337754.25406557
BG,F,2028,56581559.3891846,51842492.50446447,61831478.70211607
BG,F,2029,56196596.16852598,50861601.07130647,61649669.927325785
BG,F,2030,55398181.33736381,48622071.00066044,62049455.071426965
BG,F,2031,55130750.588304855,47996929.02180395,62163827.544532344
BG,F,2032,54774241.70658611,46928512.201228134,62644793.59088376
BG,F,2033,54393104.75273636,46076212.29421806,62434050.292435125
BG,M,2025,66306915.68067643,64386991.14344363,68216554.8270825
BG,M,2026,65936233.24788415,62654794.99481634,69158664.34854968
BG,M,2027,65445078.265084185,61289652.3099144,69425856.66408132
BG,M,2028,64993764.72724321,60261913.89034573,69425099.93146235
BG,M,2029,64703102.77363662,59600758.17759972,69836373.96661268
BG,M,2030,63941560.084826514,57846462.26908875,69823456.7261985
BG,M,2031,63374736.387175046,56705133.70314597,69967312.88336298
BG,M,2032,63500610.583699696,56392150.82381051,70686332.17246556
BG,M,2033,62745674.70307071,54940770.57678644,70342311.52744006
PL,F,2025,312194982.41050917,297665767.8337562,326013095.4076037
PL,F,2026,308039167.0596625,283311388.19243556,331957243.8421254
PL,F,2027,303417205.1394011,261743618.05799085,344448938.52290076
PL,F,2028,299214968.94492555,234325263.85465103,354762040.78316927
PL,F,2029,295369656.1101009,218227557.68951172,365132010.63523066
PL,F,2030,288660832.8025734,191138931.09548596,374605903.9395401
PL,F,2031,286895623.06267214,175554891.60908893,387473341.60271406
PL,F,2032,288213432.88718915,165136402.55499953,399711730.24839836
PL,F,2033,275688940.375326,121825553.65221293,401754844.86095256
PL,M,2025,373297566.2614077,363503982.9590214,383182178.8072153
PL,M,2026,371379025.16771543,351466139.66422683,389352116.693885
PL,M,2027,369124708.5869302,339162007.46934474,398386231.9853262
PL,M,2028,366356113.3974793,319138183.27438265,410768210.76407474
PL,M,2029,365360450.4911894,305203276.75139695,416668535.938582
PL,M,2030,361246908.67267084,295563674.5079,426662884.0325195
PL,M,2031,363253245.4248896,282106416.465961,445767661.5625844
PL,M,2032,358625515.5573882,262078491.2115236,450756163.3987598
PL,M,2033,359701911.1547485,242664743.90452313,472044562.0216109
CZ,F,2025,92289940.16336146,88099501.21842784,96604977.79906842
CZ,F,2026,91528263.17605357,83596694.75233702,99524041.82507221
CZ,F,2027,90838938.76757337,76366645.2689244,104133907.74839342
CZ,F,2028,89402862.17389145,70949080.7818367,107462225.33063306
CZ,F,2029,88566078.04995634,62634204.35362796,111798952.0058155
CZ,F,2030,87457086.28945066,57519189.48077501,116910549.24504982
CZ,F,2031,85122957.34411137,48950937.409755,119575362.54701577
CZ,F,2032,86640307.54393232,41938884.38628154,130110836.86587672
CZ,F,2033,84718357.42370401,34916508.70871025,132005141.0904473
CZ,M,2025,113761568.0210812,110732822.19534126,116760715.13324234
CZ,M,2026,113780941.26932555,108546981.4042811,118804617.68509652
CZ,M,2027,113342578.73241134,104604150.6056287,121699358.93245597
CZ,M,2028,113191503.58762057,101088543.65623416,125006811.21486838
CZ,M,2029,111994488.90074243,96191748.17038281,127836444.43234059
CZ,M,2030,112157522.76170908,89318455.69147126,132176507.17497571
CZ,M,2031,112005915.319223,86125977.16728452,136242365.28821948
CZ,M,2032,110649650.86674367,80568832.47210236,141102572.30935436
CZ,M,2033,111007890.63891688,77378663.6652686,145947150.59615347
RO,F,2025,136841074.88366553,125832199.23822685,147792660.10923654
RO,F,2026,134834313.03021216,120986762.75001365,148725920.18479025
RO,F,2027,133476239.80714239,118598096.54390295,147602630.7491013
RO,F,2028,132142107.93679447,116220820.41338673,148627096.9081509
RO,F,2029,130288530.77481018,114258780.02034308,146753547.44593245
RO,F,2030,129133645.03036259,111253391.35409021,147479556.4908841
RO,F,2031,127885928.43659991,104818159.69919732,150394002.73828506
RO,F,2032,127450369.52466229,105347590.0310963,150981391.15540558
RO,F,2033,124872887.82889262,103693094.39731233,146657490.6649238
RO,M,2025,190527351.45745194,180964304.9693183,199926388.5355658
RO,M,2026,188562637.21853808,176484019.0637292,201048230.18678394
RO,M,2027,187370586.56886607,173348815.5180159,201924326.24911398
RO,M,2028,185739353.23477018,171812828.39653477,200076784.704123
RO,M,2029,185096062.02787092,169572960.96541038,200047686.31068888
RO,M,2030,184526006.89258772,166643836.50236443,202911330.9097741
RO,M,2031,183261516.44040167,163593271.80382237,203725426.99507877
RO,M,2032,183035349.8406895,163456179.24707177,204126145.6124114
RO,M,2033,179157994.7557479,159785636.38924527,199346176.41219804
DE,F,2025,763625915.216091,717185422.8479658,815161345.0212339
DE,F,2026,762942820.2918913,708233240.0649952,819849646.8840724
DE,F,2027,764940970.9402455,694726304.779437,838839548.5643209
DE,F,2028,761567671.8765616,678725672.1665475,852820405.6877583
DE,F,2029,762999266.3915846,665486546.7491802,859823172.68198
DE,F,2030,763723572.6096407,655380515.365499,876069351.25255
DE,F,2031,760760677.2547692,650043652.7833481,868398057.0173246
DE,F,2032,761523245.0932751,646361121.2550786,887748368.1473106
DE,F,2033,761983370.3045658,629482789.472476,892729652.0109578
DE,M,2025,892896402.8675692,850488944.7277918,938982465.1735773
DE,M,2026,893999479.5030391,843653053.6519856,949119430.5679792
DE,M,2027,894729309.6856452,826511858.7494414,963235503.8294349
DE,M,2028,890196466.7117712,814547237.452529,967369217.4727452
DE,M,2029,890434180.632903,800773877.931516,979878165.324925
DE,M,2030,889993862.9666219,793321829.3424588,991112581.6400648
DE,M,2031,884954210.3055195,787448411.5881952,981691078.623995
DE,M,2032,885859798.4173439,789560488.8973789,992615992.877934
DE,M,2033,882035583.9628509,772953496.2879039,997064830.9392486
FR,F,2025,574134296.2915262,556927117.4763259,590567001.8505436
FR,F,2026,576701524.7537637,550678932.6349934,601935612.1392403
FR,F,2027,577223706.3600672,542977026.1709177,612796162.1848596
FR,F,2028,576438606.3280013,534938994.5043123,618617151.8336055
FR,F,2029,578009882.1961144,527284676.6276305,625994707.0417675
FR,F,2030,578497921.3367195,519500385.6890977,632331159.707641
FR,F,2031,577255304.0027341,513762642.3564595,636010650.3544929
FR,F,2032,576822170.7152916,502495500.0537064,644339164.5343215
FR,F,2033,576976605.0804234,491932412.016644,654178615.6705239
FR,M,2025,641209382.5631679,626040942.5051918,656586339.9192582
FR,M,2026,641679191.7242742,613625824.5155911,667238173.7556994
FR,M,2027,638789004.1410482,594186694.139752,681160739.9156051
FR,M,2028,637097761.7010301,577245367.0774065,690961051.6260949
FR,M,2029,636149061.0898113,559232789.313582,707063198.3102789
FR,M,2030,634484677.2518181,544842081.5799187,713525274.8784018
FR,M,2031,628509193.775815,522036252.85952026,719894481.5229543
FR,M,2032,629946604.7201679,502219944.10540766,737630643.3948799
FR,M,2033,621829838.6559854,478816986.5178673,750574852.1663435
NO,F,2025,52500000.35211752,49626219.18419927,55535426.46285093
NO,F,2026,53022610.73178963,48781373.91225314,57355406.21964239
NO,F,2027,53441905.040322006,48231356.92556329,58487528.46937904
NO,F,2028,53395369.21043102,46806660.827031344,59981080.5344918
NO,F,2029,53563708.95736329,45526138.28178225,61803922.261170074
NO,F,2030,53735097.67135427,44896998.56290191,62904556.01657549
NO,F,2031,54182379.50041392,43941127.84195663,64389630.81456093
NO,F,2032,54221116.25018126,43045268.32627708,65331328.37006966
NO,F,2033,54038305.39136166,42503121.640121035,66117292.47180364
NO,M,2025,65520726.73922165,62214971.810410015,68980758.73029654
NO,M,2026,65936302.663703784,61210863.1495538,70571621.5988228
NO,M,2027,66346064.77694449,60991945.31347502,71836776.2201011
NO,M,2028,66462752.08587932,59611971.24302319,73534427.74148309
NO,M,2029,66623059.19420277,58666983.89761399,74721480.97378348
NO,M,2030,67423795.96811274,58257828.59498876,76960621.11143817
NO,M,2031,67451551.29021472,56676576.643394165,78800992.83284558
NO,M,2032,67795819.44445528,56336555.65354119,79450172.25475621
NO,M,2033,67485248.15700921,55436534.25967365,80363503.98064606
CH,F,2025,78344786.32606582,75062865.6399104,81640062.52900535
CH,F,2026,78230197.14837363,73219682.60756777,83149469.66085714
CH,F,2027,78207008.71355861,71639276.05938469,85088044.92163977
CH,F,2028,77839703.90836237,71118504.35142276,84606061.28369829
CH,F,2029,77510078.92888092,70514242.53613906,84598140.91023797
CH,F,2030,77496212.46786949,69914787.06880178,85380599.59008446
CH,F,2031,77057462.0895467,68158813.93750656,85631351.2909758
CH,F,2032,76909690.30951525,69746503.07959193,84787206.39567794
CH,F,2033,76335498.31593256,68402141.45051697,84904566.61616871
CH,M,2025,95822047.42343874,92581774.95997168,98858880.85057303
CH,M,2026,95519343.1012883,90741828.93472715,100509281.61631952
CH,M,2027,94975309.27264965,89293272.08477847,100816747.81742898
CH,M,2028,94731896.24755162,88624727.10432316,101104619.32670093
CH,M,2029,94828076.1358941,88003453.85460342,102094763.52680108
CH,M,2030,94342226.18137917,86681678.78748424,101926707.88369492
CH,M,2031,93624392.74473843,84940784.66083255,102235160.59383124
CH,M,2032,93423927.10718128,85857809.32813974,101307965.52687946
CH,M,2033,92789255.2866572,84403876.27406107,101487122.27742136
