country,sex,year,employed_ths,hly_65,hly_birth,le_15_alt,le_65,le_birth,pop_total,unemp_rate,working_life_yrs,pop_15_64,pop_65p,coicop_education,coicop_hotels_rest,coicop_recreation,gov_health_exp,gov_social_exp,nace_q_va,vacancy_count,vacancy_rate,covid,statutory_retirement_age,required_service_years,healthy_share,potential_workers,span_ceiling,supply_ceiling,supply_realized,realization_ratio,vacancies_sex,jobs,demand,balance_ceiling,balance_realized
BG,F,2011,1386.4,9.7,65.9,63.6,17.3,77.8,3780505.0,11.1,29.8,2500139.0,806802.0,504.5,3848.7,3733.5,1714.0,5033.2,1565.4,16275.5,0.7,0,62.5,36.83,0.847043701799486,2117726.993573265,47.5,100592032.19473009,63108264.408483304,0.6273684210526316,7707.720990606321,1394107.7209906064,51344987.36408403,49247044.83064606,11763277.044399276
BG,F,2012,1377.7,9.5,65.7,63.7,17.3,77.9,3760457.0,11.8,30.3,2464803.0,819712.0,501.9,4317.3,3870.7,1839.3,5196.6,1603.4,16424.0,0.725,0,62.5,36.83,0.8433889602053916,2078787.6392811297,47.5,98742412.86585367,62987265.470218234,0.6378947368421053,7816.278558844865,1385516.278558845,51028564.53932226,47713848.32653141,11958700.930895977
BG,F,2013,1371.5,9.9,66.6,64.3,17.9,78.6,3701945.0,12.8,30.7,2386505.0,831059.0,460.0,3789.2,3887.4,1899.1,5672.0,1556.4,14714.75,0.6499999999999999,0,62.5,36.83,0.8473282442748091,2022153.0916030533,47.5,96052271.85114503,62080099.912213735,0.6463157894736842,6984.350103824191,1378484.3501038242,50769578.61432384,45282693.23682119,11310521.297889896
BG,F,2014,1384.1,9.6,66.1,63.7,17.6,78.0,3662824.0,11.3,30.7,2337596.0,845114.0,528.0,4042.8,4229.8,2345.5,5728.2,1436.1,15841.25,0.725,0,62.5,36.83,0.8474358974358973,1980962.7641025637,47.5,94095731.29487178,60815556.857948706,0.6463157894736842,7489.879799480769,1391589.8797994808,51252255.27301487,42843476.021856904,9563301.584933832
BG,F,2015,1401.8,9.5,65.0,63.7,17.6,78.2,3621883.0,9.3,30.8,2289505.0,857993.0,582.9,4148.3,4433.1,2429.9,5949.1,1458.3,17677.0,0.8,0,62.5,36.83,0.8312020460358056,1903041.240409207,47.5,90394458.91943733,58613670.20460358,0.648421052631579,8333.485320329577,1410133.4853203297,51935216.26434774,38459242.655089594,6678453.940255843
BG,F,2016,1385.0,10.1,67.5,64.0,17.9,78.5,3578998.0,7.9,30.2,2239011.0,872549.0,661.3,3927.7,4680.0,2414.3,6001.1,1376.2,19552.25,0.8500000000000001,0,62.5,36.83,0.8598726114649682,1925264.2356687898,47.5,91450051.19426751,58142979.91719745,0.6357894736842105,9166.25469654402,1394166.254696544,51347143.16047371,40102908.0337938,6795836.756723739
BG,F,2017,1434.8,9.2,66.2,63.9,17.8,78.4,3537549.0,6.9,31.6,2191727.0,882753.0,680.5,3980.5,4767.9,2547.4,6436.5,1367.4,19388.0,0.8250000000000001,0,62.5,36.83,0.8443877551020408,1850667.4413265307,47.5,87906703.4630102,58481091.14591837,0.6652631578947369,9051.18188325633,1443851.1818832564,53177039.02876033,34729664.43424988,5304052.11715804
BG,F,2018,1432.2,10.2,67.6,64.0,18.0,78.6,3494184.0,5.6,31.4,2145067.0,889460.0,697.8,3935.0,4907.8,2785.9,6720.5,1461.9,20867.75,0.925,0,62.5,36.83,0.8600508905852418,1844866.7837150127,47.5,87631172.22646311,57928817.0086514,0.6610526315789473,9738.917997262773,1441938.9179972627,53106610.34983918,34524561.87662393,4822206.658812217
BG,F,2019,1380.4,10.4,68.4,64.2,18.1,78.8,3450251.0,4.8,32.4,2098942.0,897380.0,633.8,3988.8,5502.8,2845.5,7047.7,1488.8,20149.75,0.875,0,62.5,36.83,0.868020304568528,1821924.2741116753,47.5,86541403.02030458,59030346.48121828,0.6821052631578947,9441.518974881195,1389841.5189748812,51187863.14384487,35353539.8764597,7842483.337373406
BG,F,2020,1324.1,9.9,67.8,62.8,17.1,77.5,3405861.0,5.6,31.7,2055172.0,903489.0,692.9,2620.8,4865.7,3600.0,8051.5,1713.7,16709.5,0.75,1,62.5,36.83,0.8748387096774193,1797944.0206451612,47.5,85402340.98064515,56994825.454451606,0.6673684210526316,7808.657072774759,1331908.6570727748,49054195.839990295,36348145.140654854,7940629.61446131
BG,F,2021,1304.1,9.0,65.1,60.6,15.5,75.1,3389807.0,4.9,31.2,2034545.0,907815.0,886.3,3076.3,5887.2,4170.4,9209.1,1770.3,18129.0,0.775,1,62.5,36.83,0.8668442077230359,1763633.5486018641,47.5,83772593.55858855,55025366.71637816,0.6568421052631579,8487.839771666548,1312587.8397716666,48342610.13879048,35429983.41979807,6682756.577587679
BG,F,2022,1337.5,10.9,68.9,63.4,17.3,77.9,3364303.0,3.9,32.7,2000622.0,918038.0,910.1,4125.0,5692.9,4770.2,11403.0,2003.5,19100.25,0.8500000000000001,0,62.5,36.83,0.8844672657252889,1769484.6700898588,47.5,84050521.82926829,57862148.71193839,0.688421052631579,8993.059589185765,1346493.0595891858,49591339.384669706,34459182.444598585,8270809.327268682
BG,F,2023,1331.9,12.0,71.0,65.1,18.8,79.7,3348207.0,4.2,33.4,1985676.0,918032.0,,,,5098.1,13060.9,2102.0,17735.0,0.775,0,62.5,36.83,0.890840652446675,1768920.9033877037,47.5,84023742.91091593,59081958.1731493,0.7031578947368421,8371.282028564341,1340271.2820285643,49362191.31711202,34661551.593803905,9719766.856037281
BG,F,2024,1330.4,12.7,71.4,65.0,18.8,79.5,3347783.0,3.9,33.5,1976632.0,927678.0,,,,5618.4,15091.9,2388.7,17276.25,0.775,0,62.5,36.83,0.8981132075471698,1775239.3056603775,47.5,84323867.01886792,59470516.739622645,0.7052631578947368,8148.157614861032,1338548.157614861,49298728.64495532,35025138.3739126,10171788.094667323
BG,M,2011,1541.1,8.6,62.1,56.7,14.0,70.7,3588926.0,13.3,32.4,2533710.0,553649.0,504.5,3848.7,3733.5,1714.0,5033.2,1565.4,16275.5,0.7,0,64.75,39.83,0.8783592644978784,2225507.6520509194,49.75,110719005.68953323,72106447.92644979,0.6512562814070352,8567.77900939368,1549667.7790093936,61723267.63794415,48995738.05158909,10383180.288505644
